Corruption Perceptions Index 2023: Score timeseries since 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMBARGOED UNTIL 30.01.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2023,Rank 2023,Sources 2023,Standard error 2023,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Malaysia,MYS,AP,50,57,9,0.97,47,61,9,1.37,48,62,9,1.32,51,57,9,1.62,53,51,9,2.29,47,61,9,2.86,47,62,9,2.67,49,8,2.46,50,8,3,52,8,2.88,50,9,3.4,49,9,3.4
Maldives,MDV,AP,39,93,3,4.17,40,85,3,4.83,40,85,3,4.39,43,75,3,7.69,29,130,3,2.57,31,124,3,2.24,33,112,3,1.71,36,3,5.66,,,,,,,,,,,,
Mali,MLI,SSA,28,136,8,1.49,28,137,8,1.63,29,136,8,1.46,30,129,8,1.50,29,130,8,2.62,32,120,7,1.38,31,122,7,2.08,32,6,1.75,35,6,1.89,32,6,3.37,28,6,3.3,34,6,4
Malta,MLT,WE/EU,51,55,7,2.42,51,54,7,2.52,54,49,7,1.73,53,52,6,1.42,54,50,6,1.55,54,51,5,1.39,56,46,5,1.18,55,5,1.39,60,4,1.32,55,5,2.63,56,5,2.4,57,4,2.4
Mauritania,MRT,SSA,30,130,6,1.65,30,130,6,1.68,28,140,7,1.85,29,134,6,1.60,28,137,6,2.73,27,144,6,2.95,28,143,6,2.41,27,5,3.62,31,5,5.07,30,5,4.23,30,5,4.1,31,5,3.5
Mauritius,MUS,SSA,51,55,6,2.04,50,57,6,1.78,54,49,6,1.60,53,52,6,1.54,52,56,6,3.12,51,56,5,3.83,50,54,5,4.41,54,4,2.14,53,4,1.49,54,4,2.39,52,5,1.1,57,5,3.5
Mexico,MEX,AME,31,126,9,1.56,31,126,9,1.62,31,124,9,1.43,31,124,9,1.38,29,130,9,1.73,28,138,9,1.83,29,135,9,1.69,30,8,1.56,31,8,3.02,35,8,1.66,34,9,1.8,34,9,1.7
Moldova,MDA,ECA,42,76,7,2.10,39,91,8,1.65,36,105,7,1.34,34,115,9,1.24,32,120,9,2.40,33,117,9,2.13,31,122,9,1.54,30,9,2.18,33,8,2.88,35,8,2.7,35,8,2.8,36,8,2.6
Mongolia,MNG,AP,33,121,7,1.05,33,116,8,0.82,35,110,8,0.57,35,111,9,0.71,35,106,9,1.89,37,93,9,1.94,36,103,9,1.4,38,9,1.7,39,8,1.76,39,7,2.13,38,7,2.2,36,7,2.6
Montenegro,MNE,ECA,46,63,5,2.55,45,65,5,1.93,46,64,5,2.13,45,67,5,3.25,45,66,5,4.84,45,67,5,4.43,46,64,5,2.45,45,4,2.89,44,4,4.87,42,4,4.25,44,4,2.2,41,4,4.5
Morocco,MAR,MENA,38,97,7,1.70,38,94,7,1.80,39,87,6,2.47,40,86,7,2.22,41,80,7,3.15,43,73,7,3.68,40,81,7,2.6,37,7,1.74,36,6,3.85,39,6,3.57,37,8,2.9,37,8,3.2
Mozambique,MOZ,SSA,25,145,8,1.91,26,142,8,1.89,26,147,8,1.99,25,149,9,1.60,26,146,9,2.98,23,158,8,2.64,25,153,8,2.87,27,8,2.57,31,7,1.97,31,7,1.89,30,7,2,31,7,1.6
Myanmar,MMR,AP,20,162,7,2.29,23,157,7,1.90,28,140,7,2.78,28,137,7,2.65,29,130,7,4.21,29,132,7,3.94,30,130,7,3.91,28,8,3.69,22,7,2.82,21,7,2.87,21,6,3.9,15,4,3.7
Namibia,NAM,SSA,49,59,6,2.84,49,59,7,2.48,49,58,7,2.61,51,57,7,1.88,52,56,7,3.13,53,52,6,3.72,51,53,6,3.22,52,5,2.03,53,5,2.75,49,5,4,48,6,3.4,48,6,3.5
Nepal,NPL,AP,35,108,6,0.74,34,110,6,0.93,33,117,6,0.54,33,117,6,1.35,34,113,6,1.76,31,124,6,1.85,31,122,6,2,29,6,2.33,27,5,2.73,29,5,2.2,31,5,1.4,27,5,2.4
Netherlands,NLD,WE/EU,79,8,8,2.10,80,8,8,2.01,82,8,8,1.36,82,8,8,1.44,82,8,8,2.25,82,8,8,2.3,82,8,8,2.23,83,7,2.32,84,7,1.98,83,7,1.97,83,7,2,84,7,2
New Zealand,NZL,AP,85,3,8,1.92,87,2,8,1.41,88,1,8,1.43,88,1,8,1.48,87,1,8,2.29,87,2,8,2.44,89,1,8,2.4,90,7,2.56,91,7,2.32,91,7,2.28,91,7,2.3,90,7,2.2
Nicaragua,NIC,AME,17,172,7,0.96,19,167,8,1.04,20,164,8,0.97,22,159,7,0.90,22,161,7,1.16,25,152,8,1.13,26,151,8,1.29,26,7,1.98,27,7,2.5,28,7,2.03,28,7,2.4,29,7,2.1
Niger,NER,SSA,32,125,7,1.50,32,123,7,1.50,31,124,7,1.35,32,123,7,1.20,32,120,7,1.72,34,114,6,2.98,33,112,6,3.27,35,5,3.25,34,5,4.16,35,5,3.99,34,5,3.7,33,5,3.1
Nigeria,NGA,SSA,25,145,8,1.64,24,150,8,1.60,24,154,8,1.57,25,149,8,1.45,26,146,8,1.87,27,144,9,2.03,27,148,9,1.97,28,9,1.98,26,8,2.24,27,8,2.82,25,9,3.1,27,9,2.7
North Macedonia,MKD,ECA,42,76,6,2.88,40,85,7,1.95,39,87,7,1.66,35,111,7,2.44,35,106,7,3.56,37,93,7,3.38,35,107,6,4.49,37,7,4.97,42,6,5.27,45,6,5.92,44,6,5,43,6,4.7
Norway,NOR,WE/EU,84,4,7,1.38,84,4,7,1.17,85,4,7,1.07,84,7,7,1.26,84,7,7,1.65,84,7,8,2.14,85,3,8,1.83,85,7,1.85,88,7,2.24,86,7,2.38,86,7,2.3,85,7,1.6
Oman,OMN,MENA,43,70,5,5.32,44,69,5,4.95,52,56,6,7.12,54,49,6,7.47,52,56,6,9.78,52,53,6,9.46,44,68,5,7,45,5,7.07,45,5,6.69,45,5,6.55,47,5,7.8,47,5,7.6
Pakistan,PAK,AP,29,133,8,2.09,27,140,7,1.92,28,140,8,1.87,31,124,8,1.80,32,120,8,2.46,33,117,8,2.06,32,117,8,2.11,32,7,2.12,30,7,3.12,29,7,3.24,28,8,3,27,8,2.3
Panama,PAN,AME,35,108,7,1.17,36,101,7,1.08,36,105,7,1.02,35,111,7,0.77,36,101,7,1.37,37,93,7,1.76,37,96,7,1.79,38,6,2.29,39,6,3.01,37,6,3.49,35,6,2.2,38,6,3.1
Papua New Guinea,PNG,AP,29,133,6,1.76,30,130,6,2.34,31,124,6,2.26,27,142,6,1.62,28,137,6,2.38,28,138,6,2.47,29,135,6,2.55,28,5,3.01,25,5,4.22,25,5,4.16,25,5,4.2,25,5,4.2
Paraguay,PRY,AME,28,136,6,1.84,28,137,7,1.70,30,128,7,1.40,28,137,6,2.19,28,137,6,2.84,29,132,6,3.05,29,135,6,3.1,30,6,2.68,27,5,2.85,24,5,2.95,24,5,3.1,25,5,2.9
Peru,PER,AME,33,121,8,1.40,36,101,8,1.43,36,105,8,1.84,38,94,8,1.98,36,101,8,3.07,35,105,8,3.1,37,96,8,3.35,35,7,2.04,36,7,3.05,38,7,2.63,38,7,2.5,38,7,2.1
Philippines,PHL,AP,34,115,9,1.21,33,116,9,0.93,33,117,9,0.94,34,115,9,0.92,34,113,9,1.59,36,99,9,1.55,34,111,9,1.9,35,9,1.58,35,8,1.92,38,8,1.84,36,9,2.5,34,9,2.2
Poland,POL,WE/EU,54,47,10,1.36,55,45,10,1.37,56,42,10,1.22,56,45,10,1.39,58,41,10,1.85,60,36,10,1.69,60,36,10,1.36,62,10,1.77,63,9,2.59,61,9,2.7,60,10,2.3,58,10,2
Portugal,PRT,WE/EU,61,34,8,1.75,62,33,8,1.63,62,32,8,1.84,61,33,8,1.73,62,30,8,2.82,64,30,8,2.14,63,29,8,2.56,62,8,2.58,64,7,2.5,63,7,3.36,62,7,3,63,7,2.5
Qatar,QAT,MENA,58,40,6,4.90,58,40,6,5.08,63,31,7,5.01,63,30,7,5.35,62,30,7,8.00,62,33,7,8.08,63,29,7,7.5,61,7,7.02,71,6,6.63,69,6,7.21,68,6,7.2,68,6,6.4
Romania,ROU,WE/EU,46,63,10,0.91,46,63,10,1.01,45,66,10,1.00,44,69,10,0.89,44,70,10,2.76,47,61,10,3.25,48,59,10,3.12,48,10,3,46,9,3.11,43,9,3.6,43,9,3,44,8,3.7
Russia,RUS,ECA,26,141,7,1.47,28,137,8,1.73,29,136,9,1.46,30,129,9,1.33,28,137,9,2.48,28,138,9,2.51,29,135,9,2.5,29,9,2.73,29,8,2.52,27,8,2.61,28,9,2.3,28,9,2.2
Rwanda,RWA,SSA,53,49,6,2.19,51,54,6,2.79,53,52,7,3.59,54,49,7,3.39,53,51,7,4.75,56,48,6,6.07,55,48,6,6,54,6,5.07,54,5,6.42,49,4,3.23,53,5,5.7,53,5,6.3
Saint Lucia,LCA,AME,55,45,3,3.70,55,45,3,3.70,56,42,3,4.03,56,45,3,4.17,55,48,3,4.15,55,50,3,4.27,55,48,3,4.27,60,3,6.8,,,,71,3,0.84,71,3,0.8,71,3,0.8
Saint Vincent and the Grenadines,VCT,AME,60,36,3,4.26,60,35,3,4.51,59,36,3,3.55,59,40,3,4.02,59,39,3,4.14,58,41,3,3.39,58,40,3,3.39,60,3,1.66,,,,62,3,5.59,62,3,5.6,62,3,5.6
Sao Tome and Principe,STP,SSA,45,67,4,4.82,45,65,4,4.82,45,66,4,4.82,47,63,4,5.06,46,64,4,5.36,46,64,4,5.05,46,64,4,5.21,46,3,0.93,42,3,5,42,3,5.05,42,3,5,42,3,5
Saudi Arabia,SAU,MENA,52,53,6,5.28,51,54,6,4.64,53,52,7,4.24,53,52,7,5.36,53,51,7,7.56,49,58,7,6.34,49,57,7,6.14,46,5,7.54,52,5,7.03,49,5,6.69,46,5,6.7,44,5,6.4
Senegal,SEN,SSA,43,70,9,1.35,43,72,9,1.40,43,73,9,1.35,45,67,9,1.33,45,66,9,2.06,45,67,9,2.51,45,66,9,2.52,45,8,2.63,44,8,2.61,43,8,2.28,41,9,1.5,36,9,1.8
Serbia,SRB,ECA,36,104,8,1.26,36,101,8,1.33,38,96,8,1.42,38,94,8,1.66,39,91,8,2.48,39,87,8,2.89,41,77,8,2.8,42,7,3.69,40,7,3.9,41,7,2.92,42,7,3.4,39,7,2.6
Seychelles,SYC,SSA,71,20,3,0.37,70,23,3,1.78,70,23,3,1.34,66,27,4,2.97,66,27,4,3.40,66,28,4,3.08,60,36,4,8.32,,,,55,3,8.5,55,3,8.62,54,4,8.2,52,4,8
Sierra Leone,SLE,SSA,35,108,8,2.14,34,110,9,1.73,34,115,9,1.84,33,117,8,2.42,33,119,8,3.47,30,129,9,2.17,30,130,9,1.95,30,8,2.94,29,8,3.44,31,8,2.3,30,8,2.4,31,8,1.9
Singapore,SGP,AP,83,5,9,1.15,83,5,8,1.30,85,4,9,1.16,85,3,9,1.20,85,4,9,2.05,85,3,9,1.98,84,6,9,2.26,84,8,2.35,85,8,2.02,84,8,1.75,86,9,2.3,87,9,2.1
Slovakia,SVK,WE/EU,54,47,9,1.67,53,49,10,1.72,52,56,10,2.01,49,60,9,2.69,50,59,9,4.57,50,57,9,4.11,50,54,9,3.32,51,8,3.09,51,8,3.63,50,8,4.07,47,8,4.7,46,8,4.3
Slovenia,SVN,WE/EU,56,42,10,1.04,56,41,10,0.96,57,41,10,1.04,60,35,10,1.13,60,35,10,2.28,60,36,10,2.37,61,34,10,2.78,61,10,2.44,60,9,2.93,58,9,3.03,57,9,3.6,61,8,3.9
Solomon Islands,SLB,AP,43,70,3,7.43,42,77,3,7.67,43,73,3,7.31,42,78,3,7.80,42,77,3,8.69,44,70,3,7.38,39,85,3,3.71,42,3,3.34,,,,,,,,,,,,
Somalia,SOM,SSA,11,180,6,2.08,12,180,6,1.74,13,178,6,1.89,12,179,6,2.29,9,180,5,1.74,10,180,6,3.08,9,180,5,2.26,10,5,2.98,8,4,2.32,8,4,2.34,8,4,1.9,8,4,2.3
South Africa,ZAF,SSA,41,83,8,2.08,43,72,8,2.01,44,70,8,2.35,44,69,8,2.17,44,70,8,3.44,43,73,8,3.8,43,71,8,3.98,45,7,2.55,44,7,2.61,44,7,2.41,42,9,2.8,43,9,2.5
South Sudan,SSD,SSA,13,177,5,1.33,13,178,5,1.90,11,180,5,0.41,12,179,5,1.11,12,179,5,1.26,13,178,5,1.86,12,179,5,1.56,11,5,3.21,15,3,1.45,15,3,2.35,14,3,1.6,,,
Spain,ESP,WE/EU,60,36,8,2.36,60,35,8,2.41,61,34,8,2.28,62,32,8,2.01,62,30,8,3.17,58,41,8,4.33,57,42,8,3.78,58,7,4.09,58,7,4.07,60,7,3.75,59,7,4.9,65,7,2.9
Sri Lanka,LKA,AP,34,115,8,0.62,36,101,7,0.80,37,102,7,0.99,38,94,8,1.17,38,93,7,2.11,38,89,7,1.85,38,91,7,1.82,36,7,1.64,37,7,2.09,38,7,2.18,37,7,2.1,40,7,1.3
Sudan,SDN,SSA,20,162,8,3.13,22,162,8,3.47,20,164,8,2.43,16,174,7,2.14,16,173,7,2.74,16,172,7,2.51,16,175,7,2.31,14,7,2.99,12,6,3.64,11,6,3.55,11,6,3.5,13,6,2.9
Suriname,SUR,AME,40,87,4,5.91,40,85,4,5.38,39,87,4,4.29,38,94,4,1.69,44,70,4,4.76,43,73,4,3.22,41,77,4,4.08,45,4,7.53,36,3,3.21,36,3,3.25,36,3,3.2,37,3,3.2
Sweden,SWE,WE/EU,82,6,8,2.28,83,5,8,2.20,85,4,8,1.24,85,3,8,1.30,85,4,8,1.98,85,3,8,2.02,84,6,8,2.27,88,7,1.33,89,7,1.71,87,7,3.41,89,7,2.3,88,7,1.9
Switzerland,CHE,WE/EU,82,6,7,1.74,82,7,7,1.85,84,7,7,1.11,85,3,7,1.10,85,4,7,1.58,85,3,7,1.57,85,3,7,1.71,86,6,1.57,86,6,2.55,86,6,2.61,85,6,2.5,86,6,2.6
Syria,SYR,MENA,13,177,5,1.58,13,178,5,1.57,13,178,5,1.58,14,178,5,1.58,13,178,5,1.92,13,178,5,1.92,14,178,5,1.93,13,5,1.97,18,4,5.66,20,4,5.31,17,4,3.8,26,5,2.7
Taiwan,TWN,AP,67,28,8,1.53,68,25,8,1.66,68,25,8,1.85,65,28,8,2.06,65,28,8,3.03,63,31,8,3.06,63,29,8,3.28,61,8,3.79,62,7,3.78,61,7,4.17,61,7,4.3,61,7,3.9
Tajikistan,TJK,ECA,20,162,5,0.78,24,150,6,3.13,25,150,6,3.97,25,149,6,5.09,25,153,6,6.66,25,152,6,5.73,21,161,5,2.36,25,6,5.26,26,5,7.36,23,5,5.32,22,5,3.8,22,5,3.8
Tanzania,TZA,SSA,40,87,9,2.20,38,94,9,0.99,39,87,9,1.39,38,94,9,0.80,37,96,9,1.92,36,99,9,1.83,36,103,9,1.55,32,9,1.84,30,8,3.49,31,8,3.2,33,8,2.7,35,8,2.1
Thailand,THA,AP,35,108,9,0.88,36,101,9,1.09,35,110,9,0.84,36,104,9,1.31,36,101,9,2.45,36,99,9,2.08,37,96,9,2.03,35,9,2.44,38,8,2.12,38,8,1.6,35,8,1.2,37,8,1.6
Timor-Leste,TLS,AP,43,70,4,5.19,42,77,4,5.03,41,82,4,3.68,40,86,4,2.71,38,93,4,4.50,35,105,3,4.81,38,91,3,7.5,35,3,5.97,28,3,5.17,28,3,5.18,30,3,3.2,33,3,5.6
Togo,TGO,SSA,31,126,7,1.15,30,130,7,1.70,30,128,7,1.60,29,134,7,1.75,29,130,7,2.40,30,129,6,2.35,32,117,6,3.29,32,5,4.21,32,5,3.04,29,5,3.69,29,5,3.7,30,5,3.4
Trinidad and Tobago,TTO,AME,42,76,6,4.87,42,77,7,3.86,41,82,7,3.66,40,86,7,3.73,40,85,7,5.38,41,78,6,5.8,41,77,6,5.47,35,5,2.48,39,4,4.64,38,4,4.82,38,4,5.1,39,4,4.5
Tunisia,TUN,MENA,40,87,7,1.70,40,85,7,1.12,44,70,7,1.90,44,69,7,2.83,43,74,7,3.94,43,73,7,3.86,42,74,7,3.73,41,7,3.9,38,6,2.17,40,6,1.72,41,7,1.9,41,7,2.8
Turkey,TUR,ECA,34,115,9,1.57,36,101,9,1.51,38,96,9,2.10,40,86,9,2.06,39,91,9,3.34,41,78,9,3.03,40,81,8,1.8,41,9,1.8,42,8,2.02,45,8,2.69,50,9,2.4,49,9,2.1
Turkmenistan,TKM,ECA,18,170,5,1.45,19,167,5,1.07,19,169,5,1.07,19,165,5,0.91,19,165,5,1.42,20,161,5,1.22,19,167,5,1.78,22,4,1.32,18,4,2.38,17,3,2.85,17,3,2.9,17,3,2.9
Uganda,UGA,SSA,26,141,8,1.30,26,142,8,1.49,27,144,9,1.22,27,142,9,1.15,28,137,9,2.04,26,149,9,2.13,26,151,9,2.11,25,9,2.24,25,8,3.19,26,8,3.03,26,8,3.3,29,8,2.2
Ukraine,UKR,ECA,36,104,8,1.93,33,116,8,1.44,32,122,9,1.29,33,117,9,1.31,30,126,9,2.38,32,120,9,2.27,30,130,9,2.27,29,9,1.97,27,8,1.93,26,8,1.64,25,8,1.7,26,8,1.8
United Arab Emirates,ARE,MENA,68,26,7,2.57,67,27,7,3.10,69,24,8,2.90,71,21,8,3.23,71,21,8,5.13,70,23,8,4.56,71,21,7,6.26,66,7,5.7,70,7,5.07,70,7,5.14,69,7,4.7,68,7,4.3
United Kingdom,GBR,WE/EU,71,20,8,1.68,73,18,8,1.85,78,11,8,1.43,77,11,8,2.20,77,12,8,3.34,80,11,8,2.03,82,8,8,1.7,81,7,2.12,81,7,2.4,78,7,2.09,76,8,1.3,74,8,1.3
United States of America,USA,AME,69,24,9,2.14,69,24,9,2.11,67,27,9,2.21,67,25,9,2.49,69,23,9,4.12,71,22,9,3.25,75,16,9,3.24,74,9,3.15,76,8,3.47,74,8,3.74,73,9,4,73,9,4.1
Uruguay,URY,AME,73,16,7,0.67,74,14,7,0.66,73,18,7,0.68,71,21,7,1.72,71,21,7,2.47,70,23,7,2.73,70,23,7,2.67,71,6,2.68,74,6,1.68,73,6,1.41,73,6,1.4,72,6,1.5
Uzbekistan,UZB,ECA,33,121,9,2.12,31,126,8,1.71,28,140,7,1.51,26,146,7,1.52,25,153,7,2.01,23,158,7,1.93,22,157,7,2.11,21,7,2.35,19,6,2.71,18,6,2.54,17,6,2,17,6,2
Vanuatu,VUT,AP,48,61,3,3.14,48,60,3,2.72,45,66,3,4.58,43,75,3,3.59,46,64,3,6.38,46,64,3,5.97,43,71,3,3.93,,,,,,,,,,,,,,,
Venezuela,VEN,AME,13,177,8,1.23,14,177,8,1.30,14,177,8,0.99,15,176,8,0.91,16,173,8,2.05,18,168,8,2.13,18,169,8,1.6,17,7,1.41,17,7,2.64,19,7,1.69,20,7,2.3,19,7,2.1
Vietnam,VNM,AP,41,83,8,1.40,42,77,8,1.50,39,87,8,0.82,36,104,8,1.81,37,96,8,2.84,33,117,8,2.84,35,107,8,2.78,33,8,2.46,31,8,2.56,31,8,2.55,31,8,2.6,31,8,2.5
Yemen,YEM,MENA,16,176,7,1.75,16,176,7,1.98,16,174,7,2.29,15,176,7,1.33,15,177,7,1.89,14,176,7,1.45,16,175,7,1.85,14,7,3.05,18,6,2.66,19,6,2.37,18,6,2.6,23,6,2.2
Zambia,ZMB,SSA,37,98,8,2.06,33,116,9,1.50,33,117,9,1.63,33,117,9,0.96,34,113,9,1.97,35,105,9,1.93,37,96,9,2.46,38,9,2.91,38,8,2.55,38,8,2.27,38,8,2.1,37,8,3.1
Zimbabwe,ZWE,SSA,24,149,9,1.30,23,157,8,1.53,23,157,8,1.52,24,157,9,1.35,24,158,9,2.31,22,160,9,2.29,22,157,9,2.22,22,9,2.59,21,8,4.54,21,8,4.18,21,8,4.3,20,8,4.3
