Corruption Perceptions Index 2023: Score timeseries since 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMBARGOED UNTIL 30.01.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2023,Rank 2023,Sources 2023,Standard error 2023,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Bulgaria,BGR,WE/EU,45,67,10,1.16,43,72,10,1.06,42,78,10,1.18,44,69,10,1.29,43,74,10,2.77,42,77,10,2.41,43,71,10,2.66,41,9,2.2,41,9,2.43,43,9,2.82,41,9,3.3,41,8,3.8
Burkina Faso,BFA,SSA,41,83,7,1.78,42,77,7,1.37,42,78,7,1.37,40,86,8,1.62,40,85,8,2.54,41,78,8,1.81,42,74,7,2.18,42,7,2.47,38,7,2.97,38,7,2.67,38,7,3.9,38,7,4.4
Burundi,BDI,SSA,20,162,5,1.80,17,171,5,2.33,19,169,6,3.27,19,165,6,3.74,19,165,6,4.89,17,170,5,2.65,22,157,6,3.29,20,6,1.53,21,5,2.94,20,5,3.65,21,5,2.6,19,5,2.8
Cabo Verde,CPV,SSA,64,30,3,3.05,60,35,4,4.81,58,39,4,2.97,58,41,4,3.72,58,41,4,4.30,57,45,4,4.22,55,48,4,4.19,59,3,5.72,55,4,6.16,57,4,5.94,58,4,4.8,60,4,3.8
Cambodia,KHM,AP,22,158,7,2.90,24,150,8,2.78,23,157,8,2.84,21,160,8,2.32,20,162,8,3.41,20,161,8,2.58,21,161,8,2.43,21,8,2.82,21,7,3.87,21,7,2.25,20,7,3,22,7,3.1
Cameroon,CMR,SSA,27,140,9,1.65,26,142,9,1.37,27,144,9,1.37,25,149,9,1.36,25,153,9,2.42,25,152,9,2.43,25,153,9,2.58,26,9,3.04,27,8,3.26,27,8,2.87,25,8,2.9,26,8,3.5
Canada,CAN,AME,76,12,8,1.73,74,14,8,2.12,74,13,8,2.30,77,11,8,1.77,77,12,8,2.80,81,9,8,2.16,82,8,8,1.49,82,7,2.03,83,7,1.63,81,7,2.45,81,7,2.4,84,7,2.2
Central African Republic,CAF,SSA,24,149,5,0.99,24,150,5,0.81,24,154,5,0.99,26,146,5,0.93,25,153,5,1.43,26,149,5,1.14,23,156,5,3.28,20,4,4.04,24,4,1.44,24,4,1.33,25,4,5.4,26,4,2.4
Chad,TCD,SSA,20,162,6,2.16,19,167,6,1.51,20,164,6,1.89,21,160,6,1.71,20,162,6,2.45,19,165,6,2.94,20,165,6,2.73,20,5,2.67,22,5,2.35,22,5,2.95,19,5,3.8,19,5,2.5
Chile,CHL,AME,66,29,9,1.54,67,27,9,1.34,67,27,9,1.33,67,25,9,1.23,67,26,9,2.55,67,27,9,1.88,67,26,9,2.03,66,8,2.65,70,8,2.15,73,8,1.74,71,9,1.8,72,9,2.1
China,CHN,AP,42,76,8,1.64,45,65,9,1.81,45,66,9,1.77,42,78,8,1.63,41,80,8,2.10,39,87,8,2.02,41,77,9,1.96,40,8,2.39,37,8,2.34,36,8,2.17,40,9,2.9,39,9,2.9
Colombia,COL,AME,40,87,8,1.42,39,91,8,1.38,39,87,8,1.45,39,92,8,1.59,37,96,8,2.49,36,99,8,2.51,37,96,8,2.77,37,8,2.27,37,7,1.94,37,7,1.68,36,7,2,36,7,2.6
Comoros,COM,SSA,20,162,4,5.51,19,167,4,5.48,20,164,4,5.83,21,160,4,5.75,25,153,4,8.90,27,144,4,9,27,148,4,8.87,24,3,12.81,26,3,8.76,26,3,8.75,28,3,7.5,28,3,7.5
Congo,COG,SSA,22,158,7,1.47,21,164,7,1.26,21,162,7,1.46,19,165,6,0.80,19,165,6,1.03,19,165,6,1.04,21,161,6,1.08,20,5,1.78,23,6,4.11,23,6,4.2,22,6,3.8,26,6,3.3
Costa Rica,CRI,AME,55,45,7,2.90,54,48,7,3.16,58,39,7,2.42,57,42,7,2.58,56,44,7,3.97,56,48,7,3.65,59,38,7,2.98,58,7,3.17,55,6,2.71,54,5,4.07,53,5,4.1,54,5,7
Cote d'Ivoire,CIV,SSA,40,87,9,1.89,37,99,9,1.97,36,105,9,1.40,36,104,9,1.46,35,106,9,2.49,35,105,9,2.05,36,103,8,2.03,34,8,2.03,32,8,2.65,32,8,4.2,27,8,2.3,29,8,2.4
Croatia,HRV,WE/EU,50,57,9,1.25,50,57,9,0.93,47,63,10,1.56,47,63,10,1.48,47,63,10,2.42,48,60,10,2.77,49,57,10,2.64,49,9,2.39,51,9,2.02,48,9,3.25,48,9,3.3,46,8,3.1
Cuba,CUB,AME,42,76,5,3.46,45,65,5,2.87,46,64,5,3.07,47,63,5,2.81,48,60,5,1.87,47,61,5,2.56,47,62,5,2.36,47,5,2.9,47,4,3.64,46,4,4.46,46,4,4.5,48,4,4.1
Cyprus,CYP,WE/EU,53,49,8,2.21,52,51,8,2.46,53,52,8,2.59,57,42,7,3.19,58,41,7,3.41,59,38,7,3.54,57,42,7,3.78,55,5,5.94,61,5,4.17,63,5,3.92,63,5,3.9,66,4,2.4
Czechia,CZE,WE/EU,57,41,10,1.26,56,41,10,1.08,54,49,10,1.28,54,49,10,1.10,56,44,10,1.87,59,38,10,2.28,57,42,10,1.98,55,9,2.24,56,9,2.21,51,9,2.94,48,10,3,49,10,2.9
Democratic Republic of the Congo,COD,SSA,20,162,9,1.08,20,166,9,0.99,19,169,9,1.00,18,170,9,0.75,18,168,9,1.43,20,161,8,2.13,21,161,8,1.96,21,7,2.13,22,6,3.35,22,5,4.19,22,5,4.2,21,5,3.3
Denmark,DNK,WE/EU,90,1,8,1.82,90,1,8,1.71,88,1,8,1.85,88,1,8,1.78,87,1,8,2.54,88,1,8,2.63,88,2,8,2.75,90,7,2.46,91,7,2.16,92,7,2.04,91,7,2.2,90,7,2
Djibouti,DJI,SSA,30,130,5,1.71,30,130,5,1.74,30,128,5,1.68,27,142,5,1.53,30,126,5,4.28,31,124,4,5.38,31,122,4,5.32,30,3,8.23,34,3,9.07,34,3,9.1,36,3,8.6,36,3,8.6
Dominica,DMA,AME,56,42,3,1.91,55,45,3,1.90,55,45,3,1.98,55,48,3,1.98,55,48,3,2.16,57,45,3,2.55,57,42,3,2.55,59,3,0.85,,,,58,3,2.34,58,3,2.3,58,3,2.3
Dominican Republic,DOM,AME,35,108,7,1.62,32,123,7,1.31,30,128,7,1.16,28,137,7,1.91,28,137,7,2.70,30,129,7,2.57,29,135,7,2.56,31,6,1.89,33,6,2.63,32,6,3.3,29,6,3.5,32,6,2.7
Ecuador,ECU,AME,34,115,7,1.48,36,101,7,1.07,36,105,7,1.58,39,92,7,1.73,38,93,7,2.19,34,114,7,3.46,32,117,7,2.66,31,6,1.96,32,6,2.86,33,5,3.56,35,6,3.6,32,6,2.9
Egypt,EGY,MENA,35,108,7,3.75,30,130,6,1.78,33,117,7,4.09,33,117,7,3.68,35,106,7,4.86,35,105,7,4.59,32,117,7,4.04,34,6,2.72,36,6,2.47,37,6,2.91,32,7,3.1,32,7,3.1
El Salvador,SLV,AME,31,126,7,1.26,33,116,7,1.91,34,115,7,1.59,36,104,7,1.38,34,113,7,2.56,35,105,7,2.59,33,112,7,3.25,36,7,2.76,39,6,2.26,39,6,1.98,38,6,2,38,6,2.8
Equatorial Guinea,GNQ,SSA,17,172,4,2.57,17,171,4,2.55,17,172,4,2.55,16,174,4,2.60,16,173,4,3.00,16,172,3,2.82,17,171,3,3.56,,,,,,,,,,19,3,2.2,20,3,1.3
Eritrea,ERI,SSA,21,161,5,4.73,22,162,5,4.78,22,161,5,4.99,21,160,5,4.58,23,160,5,6.66,24,157,5,8.24,20,165,5,5.74,18,5,6.24,18,4,8.15,18,4,7.91,20,4,11,25,4,9.2
Estonia,EST,WE/EU,76,12,10,1.06,74,14,10,1.01,74,13,10,0.92,75,17,10,0.87,74,18,10,1.21,73,18,10,1.44,71,21,10,2.21,70,10,2.16,70,9,2.79,69,9,2.89,68,9,2.7,64,8,3
Eswatini,SWZ,SSA,30,130,3,5.90,30,130,3,5.90,32,122,3,7.12,33,117,4,4.93,34,113,4,6.08,38,89,3,4.48,39,85,3,5.81,,,,,,,43,3,2.98,39,4,1.8,37,4,2.1
Ethiopia,ETH,SSA,37,98,8,1.20,38,94,8,1.31,39,87,8,1.21,38,94,9,1.00,37,96,9,1.52,34,114,8,1.52,35,107,9,1.36,34,9,1.37,33,8,2.73,33,8,2.54,33,8,2.5,33,8,1.6
Fiji,FJI,AP,52,53,3,4.15,53,49,3,4.32,55,45,3,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,WE/EU,87,2,8,1.06,87,2,8,1.19,88,1,8,1.25,85,3,8,1.75,86,3,8,2.92,85,3,8,2.74,85,3,8,2.84,89,7,1.46,90,7,1.77,89,7,2.05,89,7,1.7,90,7,3
France,FRA,WE/EU,71,20,8,0.43,72,21,8,0.64,71,22,8,1.30,69,23,8,1.40,69,23,8,2.28,72,21,8,1.17,70,23,8,1.36,69,7,2.97,70,7,2.49,69,7,2.17,71,8,2.4,71,8,2.4
Gabon,GAB,SSA,28,136,6,2.32,29,136,6,2.07,31,124,5,2.40,30,129,6,2.35,31,123,6,2.41,31,124,4,3.92,32,117,4,3.22,35,4,0.97,34,4,1.65,37,4,4.19,34,5,1.5,35,5,2.1
Gambia,GMB,SSA,37,98,7,3.34,34,110,7,3.76,37,102,8,3.38,37,102,8,3.19,37,96,7,5.98,37,93,6,9.44,30,130,6,6.22,26,5,7.2,28,5,6.67,29,5,7.55,28,5,6.7,34,5,7
Georgia,GEO,ECA,53,49,6,3.99,56,41,6,3.03,55,45,6,2.84,56,45,5,3.15,56,44,5,3.84,58,41,6,3.92,56,46,6,3.1,57,6,3.61,52,5,6.53,52,6,6.47,49,6,6.9,52,6,6
Germany,DEU,WE/EU,78,9,8,2.14,79,9,8,2.17,80,10,8,1.76,80,9,8,2.00,80,9,8,3.31,80,11,8,2.49,81,12,8,1.87,81,7,2.73,81,7,2.5,79,7,2.58,78,8,2.4,79,8,2.3
Ghana,GHA,SSA,43,70,9,1.47,43,72,9,1.43,43,73,9,1.53,43,75,9,1.52,41,80,9,2.76,41,78,9,2.54,40,81,9,2.56,43,9,2.89,47,8,2.82,48,8,3.01,46,9,3.3,45,9,3.8
Greece,GRC,WE/EU,49,59,8,2.21,52,51,8,2.14,49,58,8,1.63,50,59,8,1.81,48,60,8,2.57,45,67,8,2.51,48,59,8,2.98,44,7,2.5,46,7,5.08,43,7,5.56,40,7,4.5,36,7,3.6
Grenada,GRD,AME,53,49,3,3.74,52,51,3,3.23,53,52,3,3.99,53,52,3,3.48,53,51,3,4.37,52,53,3,3,52,52,3,3,56,3,4.63,,,,,,,,,,,,
Guatemala,GTM,AME,23,154,7,1.36,24,150,7,1.13,25,150,7,1.17,25,149,7,1.38,26,146,7,2.23,27,144,7,2.56,28,143,7,2.19,28,6,2.58,28,6,3.46,32,6,2.96,29,6,2.6,33,6,2.7
Guinea,GIN,SSA,26,141,7,1.69,25,147,7,1.60,25,150,8,1.27,28,137,8,1.88,29,130,8,2.50,28,138,6,2.67,27,148,7,2.37,27,5,2.54,25,6,3.16,25,7,3.21,24,7,3.6,24,7,2.7
Guinea Bissau,GNB,SSA,22,158,6,2.93,21,164,6,2.67,21,162,6,2.69,19,165,6,2.71,18,168,6,2.91,16,172,5,1.97,17,171,5,1.7,16,4,2.09,17,4,2.63,19,4,2.37,19,4,2.4,25,4,2.1
Guyana,GUY,AME,40,87,5,2.31,40,85,5,2.18,39,87,5,2.13,41,83,5,3.54,40,85,5,3.34,37,93,5,0.77,38,91,5,1.84,34,6,3.57,29,4,3.01,30,4,3.03,27,4,2.9,28,4,2.1
Haiti,HTI,AME,17,172,6,1.32,17,171,6,1.34,20,164,6,0.74,18,170,6,2.47,18,168,6,3.23,20,161,6,2.47,22,157,6,2.05,20,5,1.81,17,5,2.74,19,5,2.86,19,5,3.1,19,5,2.8
Honduras,HND,AME,23,154,8,0.53,23,157,8,0.50,23,157,8,0.85,24,157,7,1.52,26,146,7,3.25,29,132,8,2.42,29,135,8,2.32,30,7,3.05,31,7,4.12,29,6,3.49,26,6,2.5,28,6,2.4
Hong Kong,HKG,AP,75,14,8,2.18,76,12,8,1.61,76,12,8,1.85,77,11,8,1.79,76,16,8,3.15,76,14,8,2.47,77,13,7,2.37,77,7,2.62,75,7,2.48,74,7,2.75,75,8,2.4,77,8,1.9
Hungary,HUN,WE/EU,42,76,10,1.30,42,77,10,1.46,43,73,10,1.30,44,69,10,1.27,44,70,10,2.58,46,64,10,2.79,45,66,10,2.89,48,9,2.89,51,9,3.73,54,9,3.45,54,10,3.6,55,10,3.5
Iceland,ISL,WE/EU,72,19,7,3.54,74,14,7,3.83,74,13,7,3.70,75,17,7,3.86,78,11,7,4.63,76,14,7,4.33,77,13,7,4.38,78,6,3.81,79,5,4.53,79,6,3.16,78,6,2.8,82,6,4.1
India,IND,AP,39,93,9,1.26,40,85,9,1.18,40,85,9,1.17,40,86,9,1.14,41,80,9,1.60,41,78,9,2.42,40,81,9,2.16,40,8,2.47,38,8,3.14,38,9,2.27,36,10,2.2,36,10,2.1
Indonesia,IDN,AP,34,115,8,1.80,34,110,8,1.78,38,96,9,2.14,37,102,9,1.71,40,85,9,3.76,38,89,9,3.35,37,96,9,3.12,37,8,2.39,36,8,3.39,34,8,3.57,32,9,3.5,32,9,2.9
Iran,IRN,MENA,24,149,6,2.63,25,147,7,2.32,25,150,7,2.29,25,149,7,2.56,26,146,7,3.63,28,138,7,2.89,30,130,7,3.51,29,7,2.47,27,6,3.28,27,6,4.72,25,6,3.9,28,6,4.6
Iraq,IRQ,MENA,23,154,5,4.14,23,157,5,3.98,23,157,5,4.02,21,160,5,2.52,20,162,5,2.98,18,168,5,2.63,18,169,5,2.47,17,5,1.87,16,4,2.5,16,4,2.37,16,4,2.4,18,4,2.3
Ireland,IRL,WE/EU,77,11,8,1.17,77,10,8,0.79,74,13,8,0.68,72,20,7,2.15,74,18,7,3.61,73,18,7,3.25,74,19,7,3.68,73,6,4.31,75,6,4.92,74,6,4.75,72,6,4.2,69,6,3.5
Israel,ISR,MENA,62,33,6,2.45,63,31,7,2.05,59,36,7,2.05,60,35,7,1.34,60,35,7,1.99,61,34,7,1.49,62,32,7,2.19,64,6,2.27,61,6,2.78,60,6,2.34,61,6,1.6,60,5,2.9
Italy,ITA,WE/EU,56,42,8,1.66,56,41,8,1.71,56,42,8,1.46,53,52,8,2.11,53,51,8,3.22,52,53,8,3.29,50,54,8,3.72,47,7,3.34,44,7,2.5,43,7,2.26,43,7,2.5,42,7,2.4
Jamaica,JAM,AME,44,69,7,3.06,44,69,6,3.66,44,70,6,3.66,44,69,7,3.34,43,74,7,3.58,44,70,7,3.37,44,68,7,3.96,39,6,1.84,41,6,1.68,38,6,1.8,38,6,1.8,38,6,2.2
Japan,JPN,AP,73,16,9,1.75,73,18,9,1.86,73,18,9,2.10,74,19,9,2.02,73,20,9,3.51,73,18,9,2.85,73,20,9,2.66,72,8,3.02,75,8,2.96,76,8,3.16,74,9,2.4,74,9,2.3
Jordan,JOR,MENA,46,63,7,2.87,47,61,8,2.38,49,58,8,2.65,49,60,8,2.20,48,60,8,3.29,49,58,8,3.21,48,59,8,2.99,48,8,3.03,53,7,3,49,7,2.87,45,7,2.4,48,7,3.1
Kazakhstan,KAZ,ECA,39,93,9,3.20,36,101,9,3.29,37,102,9,3.33,38,94,9,3.12,34,113,9,4.18,31,124,9,3.6,31,122,9,3.59,29,9,3.35,28,8,4.9,29,8,4.4,26,8,3.3,28,8,4.1
Kenya,KEN,SSA,31,126,9,1.54,32,123,9,1.50,30,128,9,1.32,31,124,9,1.49,28,137,9,2.17,27,144,9,1.82,28,143,9,1.94,26,9,1.72,25,8,3.02,25,8,2.98,27,8,2.7,27,8,2.2
"Korea, North",PRK,AP,17,172,4,3.78,17,171,4,3.78,16,174,4,2.57,18,170,4,3.46,17,172,4,3.16,14,176,4,1.39,17,171,4,4.18,12,3,1.39,8,3,3.38,8,3,3.35,8,3,3.4,8,3,3.4
