Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.2,97.3,97.4,97.6,98.1,97.9,98.1,98.4,98,99.3,99,99.2,99.4,99.7,99.9,99.9,100,100,100,100,100,..,..
Iraq,IRQ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.99693608,3.90128636,3.01704645,2.49370432,3.2148056,3.06604242,3.77203989,3.23955345,2.80316377,2.69365859,2.80868459,2.78786659,3.15587044,4.57253027,4.08944416,4.07600641,4.207232,5.72766161,5.14179993,4.33226347,5.53275251,..,..
Iraq,IRQ,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,83.5154009333644,84.4044866614588,85.293291593962,86.1815126073683,87.0697453969481,87.9576753839558,88.8450464865989,89.747680341053,90.6562235048523,91.5604108838011,92.4602847156941,93.3560179358349,94.2475935647608,95.1361722839903,96.0213104286067,96.902402599518,97.7787837240263,98.3599044196543,98.3711569251332,98.3828518441967,98.3950469684624,98.4076938287767,..
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
